source,target,distance
62,217,0.17477
62,220,0.76398
62,226,1.25
62,230,0.63016
62,234,0.9996
62,241,0.62812
62,242,0.13914
62,246,0.069301
62,259,1.5676
62,271,0.14813
62,273,0.16877
62,274,0.38986
62,279,0.14459
62,281,0.9256
62,285,0.076553
62,287,0.32362
62,288,0.028124
62,296,0.90543
62,298,0.19267
62,306,0.96898
62,308,0.0049997
62,313,0.58856
62,320,0.66889
62,331,0.82487
62,338,0.80282
62,343,0.41123
62,346,0.65917
62,348,0.64233
62,362,1.0927
62,372,1.3251
62,390,1.3362
62,393,0.77458
62,394,1.6334
62,400,0.70645
62,404,0.78341
62,407,0.21281
62,413,0.70012
62,415,0.7589
62,421,1.7651
62,425,0.31709
62,437,1.166
62,442,0.45667
62,443,1.2892
62,453,1.4312
62,457,0.20476
62,472,0.1624
62,475,0.60763
62,476,1.5069
62,477,1.2024
62,490,0.89491
62,492,0.096665
62,493,0.86273
62,496,0.10365
62,497,0.06015
62,500,0.37464
68,70,1.8391
68,78,0.68504
68,81,1.5864
68,82,0.37548
68,92,1.3276
68,97,0.9995
68,109,0.44526
68,119,0.82129
68,120,1.7781
68,125,1.0712
68,126,0.076413
68,129,0.94232
68,132,0.15748
68,135,1.8205
68,136,1.8932
68,137,1.0942
68,141,0.026097
68,144,2.5811
68,147,3.8927
68,151,0.54491
68,159,3.0068
68,160,1.2482
68,161,0.84795
68,164,0.19007
68,165,0.54091
68,172,2.1422
68,174,0.63257
68,180,0.19415
68,186,0.63306
68,190,0.54096
68,194,0.88761
68,204,1.229
68,208,1.5844
68,215,0.033675
68,216,0.84594
68,217,0.9907
68,220,1.9294
68,226,0.08452
68,230,1.7956
68,234,0.16587
68,241,0.53735
68,242,1.3046
68,246,1.0962
68,259,2.733
68,271,1.3136
68,273,1.3342
68,274,0.77562
68,279,1.0209
68,281,0.23987
68,285,1.0889
68,287,0.84186
68,288,1.1936
68,296,0.26005
68,298,0.9728
68,306,0.19649
68,308,1.1705
68,313,0.57692
68,320,0.49659
68,331,0.34061
68,338,1.9683
68,343,1.5767
68,346,0.5063
68,348,0.52314
68,362,0.07273
68,372,0.15959
68,390,0.17072
68,393,0.39089
68,394,2.7989
68,400,1.8719
68,404,0.38207
68,407,1.3783
68,413,0.46535
68,415,1.9244
68,421,2.9306
68,425,1.4826
68,437,0.00055312
68,442,0.7088
68,443,0.12375
68,453,2.5967
68,457,0.96071
68,472,1.0031
68,475,1.7731
68,476,2.6723
68,477,0.036907
68,490,0.27057
68,492,1.2621
68,493,2.0282
68,496,1.0618
68,497,1.2256
68,500,0.79083
70,78,1.154
70,81,0.25266
70,82,1.4636
70,92,0.51144
70,97,0.83957
70,109,1.3938
70,119,1.0178
70,120,0.061006
70,125,0.76787
70,126,1.7627
70,129,0.89674
70,132,1.9965
70,135,0.018572
70,136,0.054152
70,137,0.74485
70,141,1.8652
70,144,0.74203
70,147,2.0536
70,151,1.2942
70,159,1.1677
70,160,0.59083
70,161,0.99112
70,164,1.649
70,165,1.2982
70,172,0.30314
70,174,1.2065
70,180,1.6449
70,186,1.206
70,190,1.2981
70,194,0.95146
70,204,0.61008
70,208,0.25471
70,215,1.8054
70,216,0.99312
70,217,0.84836
70,220,0.090383
70,226,1.9236
70,230,0.043437
70,234,1.6732
70,241,1.3017
70,242,0.53445
70,246,0.74289
70,259,0.89397
70,271,0.52546
70,273,0.50482
70,274,1.0634
70,279,0.81819
70,281,1.5992
70,285,0.75015
70,287,0.99721
70,288,0.64547
70,296,1.579
70,298,0.86627
70,306,1.6426
70,308,0.66859
70,313,1.2621
70,320,1.3425
70,331,1.4985
70,338,0.12923
70,343,0.26237
70,346,1.3328
70,348,1.3159
70,362,1.7663
70,372,1.9987
70,390,2.0098
70,393,1.4482
70,394,0.95985
70,400,0.032855
70,404,1.457
70,407,0.46078
70,413,1.3737
70,415,0.085309
70,421,1.0916
70,425,0.35651
70,437,1.8396
70,442,1.1303
70,443,1.9628
70,453,0.75763
70,457,0.87835
70,472,0.836
70,475,0.065958
70,476,0.83328
70,477,1.876
70,490,1.5685
70,492,0.57693
70,493,0.18913
70,496,0.77724
70,497,0.61344
70,500,1.0482
78,81,0.90136
78,82,0.30956
78,92,0.64258
78,97,0.31446
78,109,0.23978
78,119,0.13625
78,120,1.093
78,125,0.38615
78,126,0.60863
78,129,0.25728
78,132,0.84252
78,135,1.1355
78,136,1.2082
78,137,0.40917
78,141,0.71114
78,144,1.8961
78,147,3.2077
78,151,0.14013
78,159,2.3217
78,160,0.56319
78,161,0.1629
